EnterCode,ExitCode,EnterName,ExitName,Distance/Km,NormalPrice,EarlyPrice
44_44,326_153,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kaki Bukit (DT28),li class=\'distance_fare_result_dt\'>24.3 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,33_33,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kallang (EW10),li class=\'distance_fare_result_dt\'>25.3 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,120_82,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kangkar (SE4),li class=\'distance_fare_result_dt\'>25.8 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,51_50,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Keat Hong (BP3),li class=\'distance_fare_result_dt\'>11.5 km,li class=\'distance_fare_result_fr\'>$1.47
44_44,37_37,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kembangan (EW6),li class=\'distance_fare_result_dt\'>25.3 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,222_125,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kent Ridge (CC24),li class=\'distance_fare_result_dt\'>25.2 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,23_23,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Khatib (NS14),li class=\'distance_fare_result_dt\'>7.0 km,li class=\'distance_fare_result_fr\'>$1.22
44_44,310_139,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>King Albert Park (DT6),li class=\'distance_fare_result_dt\'>19.2 km,li class=\'distance_fare_result_fr\'>$1.75
44_44,105_69,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kovan (NE13),li class=\'distance_fare_result_dt\'>20.0 km,li class=\'distance_fare_result_fr\'>$1.78
44_44,47_47,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kranji (NS7),li class=\'distance_fare_result_dt\'>4.9 km,li class=\'distance_fare_result_fr\'>$1.03
44_44,124_86,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kupang (SW3),li class=\'distance_fare_result_dt\'>26.1 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,225_128,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Labrador Park (CC27),li class=\'distance_fare_result_dt\'>29.3 km,li class=\'distance_fare_result_fr\'>$1.97
44_44,26_26,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Lakeside (EW26),li class=\'distance_fare_result_dt\'>19.9 km,li class=\'distance_fare_result_fr\'>$1.78
44_44,32_32,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Lavender (EW11),li class=\'distance_fare_result_dt\'>24.2 km,li class=\'distance_fare_result_fr\'>$1.89
44_44,127_89,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Layar (SW6),li class=\'distance_fare_result_dt\'>26.1 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,111_75,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Little India (NE7 / DT12),li class=\'distance_fare_result_dt\'>21.8 km,li class=\'distance_fare_result_fr\'>$1.84
44_44,203_109,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Lorong Chuan (CC14),li class=\'distance_fare_result_dt\'>17.4 km,li class=\'distance_fare_result_fr\'>$1.71
44_44,207_118,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>MacPherson (CC10 / DT26),li class=\'distance_fare_result_dt\'>22.0 km,li class=\'distance_fare_result_fr\'>$1.84
44_44,228_13,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Marina Bay (NS27 / CE2),li class=\'distance_fare_result_dt\'>25.8 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,68_134,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Marina South Pier (NS28),li class=\'distance_fare_result_dt\'>27.1 km,li class=\'distance_fare_result_fr\'>$1.94
